addedby    ,addmethod        ,createddate            ,dateunsubscribed       ,emailaddress                                                                                                                                                                                                                                                  ,listid     ,listname                                          ,listtype        ,status      ,subscriberid,subscriberkey                                                                                                                                                                                                                                                 ,subscribertype                                                                                      
       1000,Import           ,2022-10-31 12:51:00.000,                   NULL,37124345@aol.com                                                                                                                                                                                                                                              ,          1,devsunited                                        ,List            ,Active      ,    37124345,37124345@aol.com                                                                                                                                                                                                                                              ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:51:00.000,                   NULL,37596388@gmail.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    37596388,37596388@gmail.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:51:00.000,                   NULL,37784044@yahoo.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    37784044,37784044@yahoo.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:51:00.000,                   NULL,37814540@yahoo.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    37814540,37814540@yahoo.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:51:00.000,                   NULL,37893939@hotmail.com                                                                                                                                                                                                                                          ,          1,devsunited                                        ,List            ,Active      ,    37893939,37893939@hotmail.com                                                                                                                                                                                                                                          ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:51:00.000,                   NULL,38085854@hotmail.com                                                                                                                                                                                                                                          ,          1,devsunited                                        ,List            ,Active      ,    38085854,38085854@hotmail.com                                                                                                                                                                                                                                          ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:51:00.000,                   NULL,39047297@gmail.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    39047297,39047297@gmail.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:51:00.000,                   NULL,39648967@yahoo.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    39648967,39648967@yahoo.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:51:00.000,                   NULL,42575476@gmail.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    42575476,42575476@gmail.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:51:00.000,                   NULL,42660520@gmail.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    42660520,42660520@gmail.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:51:00.000,                   NULL,42709418@yahoo.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    42709418,42709418@yahoo.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:51:00.000,                   NULL,42834029@gmail.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    42834029,42834029@gmail.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:51:00.000,                   NULL,43458865@gmail.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    43458865,43458865@gmail.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:51:00.000,                   NULL,43549212@gmail.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    43549212,43549212@gmail.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:51:00.000,                   NULL,43594467@gmail.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    43594467,43594467@gmail.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:51:00.000,                   NULL,43874107@comcast.net                                                                                                                                                                                                                                          ,          1,devsunited                                        ,List            ,Active      ,    43874107,43874107@comcast.net                                                                                                                                                                                                                                          ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:51:00.000,                   NULL,4422889@gmail.com                                                                                                                                                                                                                                             ,          1,devsunited                                        ,List            ,Active      ,     4422889,4422889@gmail.com                                                                                                                                                                                                                                             ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:51:00.000,                   NULL,7470019@HOTMAIL.COM                                                                                                                                                                                                                                           ,          1,devsunited                                        ,List            ,Active      ,     7470019,7470019@HOTMAIL.COM                                                                                                                                                                                                                                           ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:51:00.000,                   NULL,7650977@gmail.com                                                                                                                                                                                                                                             ,          1,devsunited                                        ,List            ,Active      ,     7650977,7650977@gmail.com                                                                                                                                                                                                                                             ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:51:00.000,                   NULL,9402534@gmail.com                                                                                                                                                                                                                                             ,          1,devsunited                                        ,List            ,Active      ,     9402534,9402534@gmail.com                                                                                                                                                                                                                                             ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:52:00.000,                   NULL,18371655@gmail.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    18371655,18371655@gmail.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:52:00.000,                   NULL,32225520@yahoo.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    32225520,32225520@yahoo.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:52:00.000,                   NULL,3390382@yahoo.com                                                                                                                                                                                                                                             ,          1,devsunited                                        ,List            ,Active      ,     3390382,3390382@yahoo.com                                                                                                                                                                                                                                             ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:52:00.000,                   NULL,34357372@icloud.com                                                                                                                                                                                                                                           ,          1,devsunited                                        ,List            ,Active      ,    34357372,34357372@icloud.com                                                                                                                                                                                                                                           ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:52:00.000,                   NULL,35376580@gmail.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    35376580,35376580@gmail.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:52:00.000,                   NULL,37387779@yahoo.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    37387779,37387779@yahoo.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:52:00.000,                   NULL,37434691@gmail.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    37434691,37434691@gmail.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:52:00.000,                   NULL,37823183@hotmail.com                                                                                                                                                                                                                                          ,          1,devsunited                                        ,List            ,Active      ,    37823183,37823183@hotmail.com                                                                                                                                                                                                                                          ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:52:00.000,                   NULL,37902539@yahoo.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    37902539,37902539@yahoo.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:52:00.000,                   NULL,37996279@aol.com                                                                                                                                                                                                                                              ,          1,devsunited                                        ,List            ,Active      ,    37996279,37996279@aol.com                                                                                                                                                                                                                                              ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:52:00.000,                   NULL,38238133@gmail.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    38238133,38238133@gmail.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:52:00.000,                   NULL,42421437@hotmail.com                                                                                                                                                                                                                                          ,          1,devsunited                                        ,List            ,Active      ,    42421437,42421437@hotmail.com                                                                                                                                                                                                                                          ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:52:00.000,                   NULL,43218644@yahoo.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    43218644,43218644@yahoo.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:52:00.000,                   NULL,43377174@gmail.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    43377174,43377174@gmail.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:52:00.000,                   NULL,43443444@yahoo.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    43443444,43443444@yahoo.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:52:00.000,                   NULL,43459274@gmail.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    43459274,43459274@gmail.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:52:00.000,                   NULL,43576104@gmail.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    43576104,43576104@gmail.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:52:00.000,                   NULL,43582561@yahoo.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    43582561,43582561@yahoo.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:52:00.000,                   NULL,43751870@hotmail.com                                                                                                                                                                                                                                          ,          1,devsunited                                        ,List            ,Active      ,    43751870,43751870@hotmail.com                                                                                                                                                                                                                                          ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:52:00.000,                   NULL,43755422@hotmail.com                                                                                                                                                                                                                                          ,          1,devsunited                                        ,List            ,Active      ,    43755422,43755422@hotmail.com                                                                                                                                                                                                                                          ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:52:00.000,                   NULL,43765837@yahoo.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    43765837,43765837@yahoo.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:52:00.000,                   NULL,6489289@gmail.com                                                                                                                                                                                                                                             ,          1,devsunited                                        ,List            ,Active      ,     6489289,6489289@gmail.com                                                                                                                                                                                                                                             ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:52:00.000,                   NULL,7361894@yahoo.com                                                                                                                                                                                                                                             ,          1,devsunited                                        ,List            ,Active      ,     7361894,7361894@yahoo.com                                                                                                                                                                                                                                             ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:52:00.000,                   NULL,8270077@gmail.com                                                                                                                                                                                                                                             ,          1,devsunited                                        ,List            ,Active      ,     8270077,8270077@gmail.com                                                                                                                                                                                                                                             ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:53:00.000,                   NULL,10890334@GMAIL.COM                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    10890334,10890334@GMAIL.COM                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:53:00.000,                   NULL,22385143@yahoo.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    22385143,22385143@yahoo.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:53:00.000,                   NULL,28959784@gmail.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    28959784,28959784@gmail.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:53:00.000,                   NULL,33523371@yahoo.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    33523371,33523371@yahoo.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:53:00.000,                   NULL,33710091@yahoo.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    33710091,33710091@yahoo.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:53:00.000,                   NULL,34235988@yahoo.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    34235988,34235988@yahoo.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:53:00.000,                   NULL,34526599@gmail.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    34526599,34526599@gmail.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:53:00.000,                   NULL,34818290@yahoo.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    34818290,34818290@yahoo.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:53:00.000,                   NULL,34959113@gmail.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    34959113,34959113@gmail.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:53:00.000,                   NULL,35999377@hotmail.com                                                                                                                                                                                                                                          ,          1,devsunited                                        ,List            ,Active      ,    35999377,35999377@hotmail.com                                                                                                                                                                                                                                          ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:53:00.000,                   NULL,3606592@yahoo.com                                                                                                                                                                                                                                             ,          1,devsunited                                        ,List            ,Active      ,     3606592,3606592@yahoo.com                                                                                                                                                                                                                                             ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:53:00.000,                   NULL,36618205@gmail.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    36618205,36618205@gmail.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:53:00.000,                   NULL,36662318@gmail.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    36662318,36662318@gmail.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
